uid,id.orig_p,id.resp_p,proto,trans_id,rtt,query,qclass,qclass_name,qtype,qtype_name,rcode,rcode_name,AA,TC,RD,RA,Z,answers,TTLs,rejected,opcode,opcode_name,device
CN7Tom3m1pxBdRcC86,5353,5353,udp,0,-,philips hue - 2476ff._hap._tcp.local,-,-,-,-,0,NOERROR,T,F,F,F,0,TXT 4 c#=2 TXT 4 ff=1 TXT 20 id=00:17:88:24:76:FF TXT 9 md=BSB002 TXT 6 pv=1.0 TXT 4 sf=1 TXT 5 s#=20 TXT 4 ci=2,120.000000,F,0,query,HueSwitch
CN7Tom3m1pxBdRcC86,5353,5353,udp,0,-,philips hue - 2476ff._hap._tcp.local,-,-,-,-,0,NOERROR,T,F,F,F,0,TXT 4 c#=2 TXT 4 ff=1 TXT 20 id=00:17:88:24:76:FF TXT 9 md=BSB002 TXT 6 pv=1.0 TXT 4 sf=1 TXT 5 s#=20 TXT 4 ci=2,120.000000,F,0,query,HueSwitch
CN7Tom3m1pxBdRcC86,5353,5353,udp,0,-,philips hue - 2476ff._hap._tcp.local,-,-,-,-,0,NOERROR,T,F,F,F,0,TXT 4 c#=2 TXT 4 ff=1 TXT 20 id=00:17:88:24:76:FF TXT 9 md=BSB002 TXT 6 pv=1.0 TXT 4 sf=1 TXT 5 s#=20 TXT 4 ci=2,120.000000,F,0,query,HueSwitch
CN7Tom3m1pxBdRcC86,5353,5353,udp,0,-,philips hue - 2476ff._hap._tcp.local,-,-,-,-,0,NOERROR,T,F,F,F,0,TXT 4 c#=2 TXT 4 ff=1 TXT 20 id=00:17:88:24:76:FF TXT 9 md=BSB002 TXT 6 pv=1.0 TXT 4 sf=1 TXT 5 s#=21 TXT 4 ci=2,120.000000,F,0,query,HueSwitch
CN7Tom3m1pxBdRcC86,5353,5353,udp,0,-,philips hue - 2476ff._hap._tcp.local,-,-,-,-,0,NOERROR,T,F,F,F,0,TXT 4 c#=2 TXT 4 ff=1 TXT 20 id=00:17:88:24:76:FF TXT 9 md=BSB002 TXT 6 pv=1.0 TXT 4 sf=1 TXT 5 s#=21 TXT 4 ci=2,120.000000,F,0,query,HueSwitch
CN7Tom3m1pxBdRcC86,5353,5353,udp,0,-,philips hue - 2476ff._hap._tcp.local,-,-,-,-,0,NOERROR,T,F,F,F,0,TXT 4 c#=2 TXT 4 ff=1 TXT 20 id=00:17:88:24:76:FF TXT 9 md=BSB002 TXT 6 pv=1.0 TXT 4 sf=1 TXT 5 s#=21 TXT 4 ci=2,120.000000,F,0,query,HueSwitch
CNVnun3ZxYcy4rkMj,5353,5353,udp,0,-,philips hue - 2476ff._hap._tcp.local,-,-,-,-,0,NOERROR,T,F,F,F,0,TXT 4 c#=2 TXT 4 ff=1 TXT 20 id=00:17:88:24:76:FF TXT 9 md=BSB002 TXT 6 pv=1.0 TXT 4 sf=1 TXT 5 s#=20 TXT 4 ci=2,120.000000,F,0,query,HueSwitch
CNVnun3ZxYcy4rkMj,5353,5353,udp,0,-,philips hue - 2476ff._hap._tcp.local,-,-,-,-,0,NOERROR,T,F,F,F,0,TXT 4 c#=2 TXT 4 ff=1 TXT 20 id=00:17:88:24:76:FF TXT 9 md=BSB002 TXT 6 pv=1.0 TXT 4 sf=1 TXT 5 s#=20 TXT 4 ci=2,120.000000,F,0,query,HueSwitch
CNVnun3ZxYcy4rkMj,5353,5353,udp,0,-,philips hue - 2476ff._hap._tcp.local,-,-,-,-,0,NOERROR,T,F,F,F,0,TXT 4 c#=2 TXT 4 ff=1 TXT 20 id=00:17:88:24:76:FF TXT 9 md=BSB002 TXT 6 pv=1.0 TXT 4 sf=1 TXT 5 s#=20 TXT 4 ci=2,120.000000,F,0,query,HueSwitch
CNVnun3ZxYcy4rkMj,5353,5353,udp,0,-,philips hue - 2476ff._hap._tcp.local,-,-,-,-,0,NOERROR,T,F,F,F,0,TXT 4 c#=2 TXT 4 ff=1 TXT 20 id=00:17:88:24:76:FF TXT 9 md=BSB002 TXT 6 pv=1.0 TXT 4 sf=1 TXT 5 s#=21 TXT 4 ci=2,120.000000,F,0,query,HueSwitch
